"LANGUAGE","Türk"
"PRR_NAME","Revize Edilmiş RICO Yapıştırıcısı"
"PRR_LEVEL","Seviye"
"PRR_LVL","Svy"
"PRR_HOU","Ev Halkı"
"PRR_WOR","İstihdam"
"PRR_SRV_NON","Yok"
"PRR_SRV_RES","Konut"
"PRR_SRV_IND","Endüstri"
"PRR_SRV_OFF","Ofis"
"PRR_SRV_COM","Ticari"
"PRR_SRV_EXT","Ekstraktör"
"PRR_SRV_DUM","İşlevsiz"
"PRR_SUB_HIG","Yüksek"
"PRR_SUB_LOW","Düşük"
"PRR_SUB_HEC","Yüksek Eko"
"PRR_SUB_LEC","Düşük Eko"
"PRR_SUB_LEI","Eğlence"
"PRR_SUB_TOU","Turizm"
"PRR_SUB_ORG","Eko (organik)"
"PRR_SUB_GEN","Genel"
"PRR_SUB_ITC","Bilişim Bölgesi"
"PRR_SUB_FAR","Çiftçilik"
"PRR_SUB_FOR","Ormancılık"
"PRR_SUB_OIL","Petrol"
"PRR_SUB_ORE","Maden"
"PRR_FTR_ALL","Hepsi"
"PRR_FTR_NON","Hiçbiri"
"PRR_FTR_NAM","İsim"
"PRR_FTR_SET","Ayarlar Filtresi: Mod/Yazar/Lokal/Herhangi"
"PRR_OPT_SET","Ayarlar"
"PRR_OPT_MOD","Mod"
"PRR_OPT_AUT","Yazar"
"PRR_OPT_LOC","Yerel"
"PRR_OPT_ENA","RICO'yu Etkinleştir"
"PRR_OPT_SER","Servis"
"PRR_OPT_SUB","Alt Servis"
"PRR_OPT_UIC","UI kategorisi"
"PRR_OPT_CST","İnşaat maliyeti"
"PRR_OPT_CNT","Ev başına çalışan sayısı"
"PRR_OPT_POP","Gerçekçi Pop mod kullan"
"PRR_OPT_POL","Kirliliğe izin ver"
"PRR_OPT_GRO","Büyüyebilen"
"PRR_OPT_JB0","Eğitimsiz işler"
"PRR_OPT_JB1","Eğitimli işler"
"PRR_OPT_JB2","İyi Eğitimli işler"
"PRR_OPT_JB3","Yüksek Eğitimli işler"
"PRR_OPT_URP","Gerçekçi popülasyon seçeneği etkinleştirildiğinden popülasyon ayarları devre dışı bırakıldı"
"PRR_CAT_MON","Anıtlar"
"PRR_CAT_BEA","Güzelleştirme"
"PRR_CAT_EDU","Eğitim"
"PRR_CAT_HEA","Sağlık"
"PRR_CAT_FIR","İtfaiye"
"PRR_CAT_POL","Polis"
"PRR_CAT_POW","Enerji"
"PRR_CAT_WAT","Su"
"PRR_CAT_GAR","Çöp"
"PRR_CAT_PIN","Oyuncu endüstrisi"
"PRR_CAT_RES","Konut"
"PRR_CAT_COM","Ticari"
"PRR_CAT_OFF","Ofis"
"PRR_CAT_IND","Endüstri"
"PRR_UIC_REL","Hafif Konut"
"PRR_UIC_REH","Yoğun Konut"
"PRR_UIC_COL","Hafif Ticari"
"PRR_UIC_COH","Yoğun Ticari"
"PRR_UIC_OFF","Ofis"
"PRR_UIC_IND","Endüstri"
"PRR_UIC_FAR","Çiftçilik"
"PRR_UIC_FOR","Ormancılık"
"PRR_UIC_OIL","Petrol"
"PRR_UIC_ORE","Madencilik"
"PRR_UIC_LEI","Eğlence"
"PRR_UIC_TOU","Turizm"
"PRR_UIC_ORG","Organik Ticari"
"PRR_UIC_ITC","Bilişim Bölgesi"
"PRR_UIC_ECO","Kendine yeterli evler"
"PRR_UIC_NON","Hiçbiri"
"PRR_SET","Ayarlar"
"PRR_SET_RICO","RICO Ayarları"
"PRR_SET_HASMOD","Mod Ayarları"
"PRR_SET_NOMOD","No mod settings"
"PRR_SET_HASAUT","Yazar Ayarları"
"PRR_SET_NOAUT","No author settings"
"PRR_SET_HASLOC","Lokal Ayarlar"
"PRR_SET_NOLOC","No local settings"
"PRR_SET_HASANY","Tüm Ayarlar"
"PRR_SET_HASNON","Ayarsız"
"PRR_SAV_SAV","Sakla"
"PRR_SAV_ADD","Lokal Ekle"
"PRR_SAV_REM","Lokalden Kaldır"
"PRR_SAV_APP","Sakla ve uygula"
"PRR_EXP","DİKKAT: DENEYSEL"
"TRN_CHOICE","Dil Seç"
"LANGUAGE_GAME","Sistem dilini kullan"
"PRR_DESCRIPTION","4x4'ten daha büyük RICO binalarına ve RICO binalarının özelleştirilmesine izin verir"
"PRR_OPTION_PLP","Büyütülebilir binaları anında planlayın (inşaat yok)"
"PRR_OPTION_ZON","Growable buildings can survive outside of the correct zone"
"PRR_OPTION_SPC","Growable buildings can survive without required district specializations"
"PRR_OPTION_STY","Building styles"
"PRR_OPTION_STR","Prevent styles from removing existing buildings"
"PRR_OPTION_VAL","Ignore 'low land value' complaint"
"PRR_OPTION_SVC","Ignore 'too few services' complaint"
"PRR_OPTION_HST","Make all plopped growables historical"
"PRR_OPTION_BLC","Lock plopped growables levels using Advanced Building Level Control"
"PRR_OPTION_RPL","RICO ploppable buildings"
"PRR_OPTION_RGR","RICO growable buildings"
"PRR_OPTION_RCO","All RICO buildings (including growables)"
"PRR_OPTION_OTH","Non-RICO growable buildings"
"PRR_OPTION_DEM","Demolition options (doesn't affect historical buildings)"
"PRR_OPTION_BDZ","Ask before bulldozing plopped RICO buildings"
"PRR_OPTION_IMP","Allow plopped RICO buildings to be auto-bulldozed"
"PRR_OPTION_IMP2","(e.g. when placing roads or other buildings)"
"PRR_OPTION_CST","Cost options"
"PRR_OPTION_COV","Override building cost"
"PRR_OPTION_CPH","Cost per household"
"PRR_OPTION_CHM","Additional multiplier per household level (%)"
"PRR_OPTION_CJ0","Cost per uneducated job"
"PRR_OPTION_CJ1","Cost per educated job"
"PRR_OPTION_CJ2","Cost per well-educated job"
"PRR_OPTION_CJ3","Cost per highly-educated job"
"PRR_OPTION_DIS","Disasters"
"PRR_OPTION_NOC","Ploppable RICO buildings aren't affected by disasters (prevents bugs)"
"PRR_OPTION_LOA","Loading options"
"PRR_OPTION_LOG","Logging options"
"PRR_OPTION_TMB","Thumbnail options"
"PRR_OPTION_PLO","Ploppable options"
"PRR_OPTION_GRO","Growable options"
"PRR_OPTION_COM","Complaint options"
"PRR_OPTION_MOD","Mod options"
"PRR_OPTION_NOT","Notification options"
"PRR_OPTION_WHATSNEW","Show what's new messages"
"PRR_OPTION_MOREDEBUG","Hata logu oluşturulmasına izin ver"
"PRR_OPTION_FORCERESET","Oyun yüklenirken bina istatistiklerini zorla sıfırla"
"PRR_OPTION_REGENTHUMBS","Önizlemeleri tekrar oluştur"
"PRR_OPTION_SPDHDR","Oyunu hızlandırır ancak paneli açarken daha fazla zaman harcar:"
"PRR_OPTION_SPEED","Kullanılmadığında paneli etki dışı bırak"
"PRR_OPTION_FASTHDR","Önizlemeleri daha hızlı görselleştirir, ancak daha fazla hafıza kullanır:"
"PRR_OPTION_FASTHUMB","Önizlemeleri hızlı görselleştir"
"PRR_OPTION_THUMBACK","Önizlemeli arkaplan"
"PRR_THUMB_COLOR","Renk"
"PRR_THUMB_PLAIN","Renksiz"
"PRR_THUMB_SKY","Skybox"
"NOTE_CLOSE","Close"
"NOTE_DONTSHOWAGAIN","Don't show again"
"MES_PAGE","Please refer to the mod's Steam Workshop page for further information."
"UNABLE_TO_OPERATE","Bu mod bu şekilde kullanılamadığı için kapatıldı."
"HARMONY_ERROR","Revize Edilmiş RICO Yapıştırıcısı, ihtiyacı olan Harmony 2 yamalamasını tamamlayamadı."
"ERR_HAR0","Harmony yamalama hatası"
"HARMONY_PROBLEM_CAUSES","Bu problemin olası sebepleri arasında:"
"HARMONY_NOT_INSTALLED","Zorunlu Harmony 2 modu yerleştirilmemiş"
"HARMONY_MOD_ERROR","Eski ve/veya arızalı bir mod, Harmony 2'nin düzgün çalışmasını engelliyor"
"ERR_CON0","Mod conflict detected!"
"CONFLICTING_MODS","The conflicting mods are:"
"CONFLICT_DETECTED","Ploppable RICO Revisited detected a conflict with at least one other mod."
"PRR_ERR_CON1","These mods must be removed before Ploppable RICO Revisited can operate."
"PRR_CON_PTG0","Plop the Growables mod detected"
"PRR_CON_PTG1","Plop the Growables mod detected - most of this mod's functionality has been incorporated into Ploppable RICO Revisited. Please be careful when using the two mods together, as their settings may conflict."
"PRR_CON_PTG2","It is still okay to use both together - IF their settings don't conflict!"
"PRR_UPD_23_0","Plopplable RICO Revisited 2.3 update"
"PRR_UPD_23_1","Ploppable RICO Revisited has been updated to version 2.3. Some key features of this update are:"
"PRR_UPD_23_2","Ploppable RICO now includes 'Plop the Growables'-style functionality for both RICO and non-RICO buildings - see the options panel for details."
"PRR_UPD_23_3","RICO growable buildings can now be placed outside of zones (configurable)."
"PRR_UPD_23_4","Complaints about 'low land value' and 'not enough services' can now be disabled."
"PRR_UPD_23_5","Improved building thumbnail renderer that now only generates images as needed, reducing memory and improving loading times."
"PRR_UPD_234_0","Add option for enabling or disabling warnings when demolishing plopped RICO buildings."
"PRR_UPD_234_1","Add option for enabling or disabling auto-bulldoze when building over the top of plopped RICO buildings."
"PRR_UPD_234_2","Improved update notifications."
"PRR_UPD_235_0","Growable options now have 'Plop the Growables' behavior enabled by default (does not affect existing settings)."
"PRR_UPD_235_1","Add warning if the 'Plop the Growables' mod is also active."
"PRR_UPD_235_2","Improved mod conflict and error notifications."
"PRR_UPD_236_0","Improve mod conflict detection and notification."
"PRR_UPD_237_0","Fix Harmony error message incorrectly showing when loading into editors."
"PRR_UPD_240_0","Add configurable cost overrides."
"PRR_UPD_240_1","Add option to automatically lock the building level of plopped growables (requires Advanced Building Level Control mod)."
"PRR_UPD_240_2","Add mod/author/local settings selection menu to settings panel (to see settings other than the currently active one)."
"PRR_UPD_240_3","Disable population textfields when 'use reality' option is set."
"PRR_UPD_241_0","Improve support for historical buildings with different levels"
"PRR_UPD_242_0","Service buildings are no longer visible by default in the RICO settings panel"
"PRR_UPD_243_0","Add option to disable update notifications"
